GRD_final,cuenta,n_codigo_unique,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
07114,492,14,3.0,1417049.0518,2691244.5458,1274195.494
06113,320,5,3.0,1196863.67,1798531.1461,601667.4761000001
06418,213,35,3.0,730800.0,1644300.0,913500.0
07414,132,12,3.0,869850.0,1724250.0,854400.0
06112,99,13,3.0,1313993.8805,2755148.459,1441154.5784999998
07410,87,6,3.0,778500.0,1757700.0,979200.0
06120,83,42,3.0,2020657.9127,5767045.0451,3746387.1323999995
07413,80,9,3.0,801900.0,1834650.0,1032750.0
07412,80,9,3.0,807150.0,1862400.0,1055250.0
06413,73,9,3.0,798450.0,1542300.0,743850.0
06114,67,6,3.0,1092999.5883,2495164.6907,1402165.1024000002
06150,53,11,3.0,986870.5578,2467499.9587,1480629.4008999998
04102,39,27,2.0,4991947.2021,9416848.2886,4424901.086499999
06412,27,8,3.0,688050.0,1498650.0,810600.0
04120,23,12,3.0,1684636.5769,3417322.4251,1732685.8482000001
06415,21,6,3.0,712050.0,1518900.0,806850.0
06411,15,9,3.0,845250.0,1570200.0,724950.0
06111,14,5,3.0,1395370.256,3415704.6045,2020334.3484999998
06140,14,12,3.0,1554887.3658,3693160.8351,2138273.4693
06417,12,4,3.0,646050.0,1086450.0,440400.0
06416,12,5,3.0,1064100.0,2227500.0,1163400.0
06414,9,3,3.0,938250.0,1768050.0,829800.0
06110,8,7,3.0,1538385.5958,4473273.922,2934888.3262
07113,8,6,3.0,1535958.8649,2605500.0548,1069541.1899
07111,7,5,3.0,2217546.6781,5767853.9554,3550307.2773
07112,7,4,3.0,1740774.9512,4059273.6339,2318498.6827
07110,5,4,3.0,2897840.2348,8517178.2603,5619338.0254999995
06130,5,5,3.0,1187803.8747,4311491.8634,3123687.9887
04101,5,5,1.0,18935781.0561,18935781.0561,0.0
03414,4,2,2.0,669300.0,979800.0,310500.0
04130,4,2,2.0,1758409.1956,4405487.2394,2647078.0438
05120,3,3,2.0,2520564.474,5285419.8565,2764855.3825
09140,2,2,1.0,2369460.0312,2369460.0312,0.0
03130,2,1,1.0,1031198.8419,1031198.8419,0.0
13130,2,2,1.0,1036375.8678,1036375.8678,0.0
09130,1,1,1.0,7156105.8008,7156105.8008,0.0
03415,1,1,1.0,644100.0,644100.0,0.0
